ID,XMIN,XMAX,YMIN,YMAX,nummer,kt_so
1066,593750.0,602500.0,260000.0,266000.0,1066-2,1
1066,593750.0,602500.0,254000.0,260000.0,1066-4,1
1067,602500.0,611250.0,260000.0,266000.0,1067-1,1
1067,611250.0,620000.0,260000.0,266000.0,1067-2,1
1067,602500.0,611250.0,254000.0,260000.0,1067-3,1
1067,611250.0,620000.0,254000.0,260000.0,1067-4,1
1068,620000.0,628750.0,254000.0,260000.0,1068-3,1
1069,637500.0,646250.0,254000.0,260000.0,1069-3,1
1086,593750.0,602500.0,248000.0,254000.0,1086-2,1
1086,593750.0,602500.0,242000.0,248000.0,1086-4,1
1087,602500.0,611250.0,248000.0,254000.0,1087-1,1
1087,611250.0,620000.0,248000.0,254000.0,1087-2,1
1087,602500.0,611250.0,242000.0,248000.0,1087-3,1
1087,611250.0,620000.0,242000.0,248000.0,1087-4,1
1088,628750.0,637500.0,248000.0,254000.0,1088-2,1
1088,620000.0,628750.0,242000.0,248000.0,1088-3,1
1088,628750.0,637500.0,242000.0,248000.0,1088-4,1
1089,637500.0,646250.0,248000.0,254000.0,1089-1,1
1089,637500.0,646250.0,242000.0,248000.0,1089-3,1
1106,585000.0,593750.0,230000.0,236000.0,1106-3,1
1106,593750.0,602500.0,230000.0,236000.0,1106-4,1
1107,602500.0,611250.0,236000.0,242000.0,1107-1,1
1107,611250.0,620000.0,236000.0,242000.0,1107-2,1
1107,602500.0,611250.0,230000.0,236000.0,1107-3,1
1107,611250.0,620000.0,230000.0,236000.0,1107-4,1
1108,620000.0,628750.0,236000.0,242000.0,1108-1,1
1108,628750.0,637500.0,236000.0,242000.0,1108-2,1
1108,620000.0,628750.0,230000.0,236000.0,1108-3,1
1108,628750.0,637500.0,230000.0,236000.0,1108-4,1
1109,637500.0,646250.0,236000.0,242000.0,1109-1,1
1126,585000.0,593750.0,224000.0,230000.0,1126-1,1
1126,593750.0,602500.0,224000.0,230000.0,1126-2,1
1126,593750.0,602500.0,218000.0,224000.0,1126-4,1
1127,602500.0,611250.0,224000.0,230000.0,1127-1,1
1127,611250.0,620000.0,224000.0,230000.0,1127-2,1
1127,602500.0,611250.0,218000.0,224000.0,1127-3,1
1127,611250.0,620000.0,218000.0,224000.0,1127-4,1
1146,593750.0,602500.0,212000.0,218000.0,1146-2,1
1147,602500.0,611250.0,212000.0,218000.0,1147-1,1
