ID,XMIN,XMAX,YMIN,YMAX,nummer,kt_so
1231,681250.0,690000.0,158000.0,164000.0,1231-4,1
1232,690000.0,698750.0,158000.0,164000.0,1232-3,1
1232,698750.0,707500.0,158000.0,164000.0,1232-4,1
1233,707500.0,716250.0,164000.0,170000.0,1233-1,1
1233,716250.0,725000.0,164000.0,170000.0,1233-2,1
1233,707500.0,716250.0,158000.0,164000.0,1233-3,1
1233,716250.0,725000.0,158000.0,164000.0,1233-4,1
1251,672500.0,681250.0,152000.0,158000.0,1251-1,1
1251,681250.0,690000.0,152000.0,158000.0,1251-2,1
1251,672500.0,681250.0,146000.0,152000.0,1251-3,1
1251,681250.0,690000.0,146000.0,152000.0,1251-4,1
1252,690000.0,698750.0,152000.0,158000.0,1252-1,1
1252,698750.0,707500.0,152000.0,158000.0,1252-2,1
1252,690000.0,698750.0,146000.0,152000.0,1252-3,1
1252,698750.0,707500.0,146000.0,152000.0,1252-4,1
1253,707500.0,716250.0,152000.0,158000.0,1253-1,1
1253,716250.0,725000.0,152000.0,158000.0,1253-2,1
1253,707500.0,716250.0,146000.0,152000.0,1253-3,1
1253,716250.0,725000.0,146000.0,152000.0,1253-4,1
1254,725000.0,733750.0,146000.0,152000.0,1254-3,1
1270,663750.0,672500.0,140000.0,146000.0,1270-2,1
1271,672500.0,681250.0,140000.0,146000.0,1271-1,1
1271,681250.0,690000.0,140000.0,146000.0,1271-2,1
1271,672500.0,681250.0,134000.0,140000.0,1271-3,1
1271,681250.0,690000.0,134000.0,140000.0,1271-4,1
1272,690000.0,698750.0,140000.0,146000.0,1272-1,1
1272,698750.0,707500.0,140000.0,146000.0,1272-2,1
1272,690000.0,698750.0,134000.0,140000.0,1272-3,1
1272,698750.0,707500.0,134000.0,140000.0,1272-4,1
1273,707500.0,716250.0,140000.0,146000.0,1273-1,1
1273,716250.0,725000.0,140000.0,146000.0,1273-2,1
1273,707500.0,716250.0,134000.0,140000.0,1273-3,1
1273,716250.0,725000.0,134000.0,140000.0,1273-4,1
1274,725000.0,733750.0,140000.0,146000.0,1274-1,1
1274,725000.0,733750.0,134000.0,140000.0,1274-3,1
1291,672500.0,681250.0,128000.0,134000.0,1291-1,1
1291,681250.0,690000.0,128000.0,134000.0,1291-2,1
1291,672500.0,681250.0,122000.0,128000.0,1291-3,1
1291,681250.0,690000.0,122000.0,128000.0,1291-4,1
1292,690000.0,698750.0,128000.0,134000.0,1292-1,1
1292,698750.0,707500.0,128000.0,134000.0,1292-2,1
1292,690000.0,698750.0,122000.0,128000.0,1292-3,1
1292,698750.0,707500.0,122000.0,128000.0,1292-4,1
1293,707500.0,716250.0,128000.0,134000.0,1293-1,1
1293,716250.0,725000.0,128000.0,134000.0,1293-2,1
1293,707500.0,716250.0,122000.0,128000.0,1293-3,1
1293,716250.0,725000.0,122000.0,128000.0,1293-4,1
1294,725000.0,733750.0,128000.0,134000.0,1294-1,1
1294,725000.0,733750.0,122000.0,128000.0,1294-3,1
1311,672500.0,681250.0,116000.0,122000.0,1311-1,1
1311,681250.0,690000.0,116000.0,122000.0,1311-2,1
1311,681250.0,690000.0,110000.0,116000.0,1311-4,1
1312,690000.0,698750.0,116000.0,122000.0,1312-1,1
1312,698750.0,707500.0,116000.0,122000.0,1312-2,1
1312,690000.0,698750.0,110000.0,116000.0,1312-3,1
1312,698750.0,707500.0,110000.0,116000.0,1312-4,1
1313,707500.0,716250.0,116000.0,122000.0,1313-1,1
1313,716250.0,725000.0,116000.0,122000.0,1313-2,1
1313,707500.0,716250.0,110000.0,116000.0,1313-3,1
1313,716250.0,725000.0,110000.0,116000.0,1313-4,1
1314,725000.0,733750.0,116000.0,122000.0,1314-1,1
1314,725000.0,733750.0,110000.0,116000.0,1314-3,1
1332,690000.0,698750.0,104000.0,110000.0,1332-1,1
1332,698750.0,707500.0,104000.0,110000.0,1332-2,1
1332,698750.0,707500.0,98000.0,104000.0,1332-4,1
1333,707500.0,716250.0,104000.0,110000.0,1333-1,1
1333,716250.0,725000.0,104000.0,110000.0,1333-2,1
1333,707500.0,716250.0,98000.0,104000.0,1333-3,1
1333,716250.0,725000.0,98000.0,104000.0,1333-4,1
1334,725000.0,733750.0,104000.0,110000.0,1334-1,1
1334,725000.0,733750.0,98000.0,104000.0,1334-3,1
1352,698750.0,707500.0,92000.0,98000.0,1352-2,1
1353,707500.0,716250.0,92000.0,98000.0,1353-1,1
1353,716250.0,725000.0,92000.0,98000.0,1353-2,1
1353,707500.0,716250.0,86000.0,92000.0,1353-3,1
1353,716250.0,725000.0,86000.0,92000.0,1353-4,1
1354,725000.0,733750.0,86000.0,92000.0,1354-3,1
1373,707500.0,716250.0,80000.0,86000.0,1373-1,1
1373,716250.0,725000.0,80000.0,86000.0,1373-2,1
1373,707500.0,716250.0,74000.0,80000.0,1373-3,1
1373,716250.0,725000.0,74000.0,80000.0,1373-4,1
1374,725000.0,733750.0,80000.0,86000.0,1374-1,1
1374,725000.0,733750.0,74000.0,80000.0,1374-3,1
