ID,XMIN,XMAX,YMIN,YMAX,nummer,kt_so
1155,751250.0,760000.0,212000.0,218000.0,1155-2,1
1155,751250.0,760000.0,206000.0,212000.0,1155-4,1
1156,760000.0,768750.0,212000.0,218000.0,1156-1,1
1156,768750.0,777500.0,212000.0,218000.0,1156-2,1
1156,760000.0,768750.0,206000.0,212000.0,1156-3,1
1156,768750.0,777500.0,206000.0,212000.0,1156-4,1
1157,777500.0,786250.0,212000.0,218000.0,1157-1,1
1157,777500.0,786250.0,206000.0,212000.0,1157-3,1
1157,786250.0,795000.0,206000.0,212000.0,1157-4,1
1159,812500.0,821250.0,206000.0,212000.0,1159-3,1
1159,821250.0,830000.0,206000.0,212000.0,1159-4,1
1174,733750.0,742500.0,194000.0,200000.0,1174-4,1
1175,751250.0,760000.0,200000.0,206000.0,1175-2,1
1175,742500.0,751250.0,194000.0,200000.0,1175-3,1
1175,751250.0,760000.0,194000.0,200000.0,1175-4,1
1176,760000.0,768750.0,200000.0,206000.0,1176-1,1
1176,768750.0,777500.0,200000.0,206000.0,1176-2,1
1176,760000.0,768750.0,194000.0,200000.0,1176-3,1
1176,768750.0,777500.0,194000.0,200000.0,1176-4,1
1177,777500.0,786250.0,200000.0,206000.0,1177-1,1
1177,786250.0,795000.0,200000.0,206000.0,1177-2,1
1177,777500.0,786250.0,194000.0,200000.0,1177-3,1
1177,786250.0,795000.0,194000.0,200000.0,1177-4,1
1178,795000.0,803750.0,194000.0,200000.0,1178-3,1
1178,803750.0,812500.0,194000.0,200000.0,1178-4,1
1179,812500.0,821250.0,200000.0,206000.0,1179-1,1
1179,821250.0,830000.0,200000.0,206000.0,1179-2,1
1179,812500.0,821250.0,194000.0,200000.0,1179-3,1
1179,821250.0,830000.0,194000.0,200000.0,1179-4,1
1192,698750.0,707500.0,182000.0,188000.0,1192-4,1
1193,716250.0,725000.0,188000.0,194000.0,1193-2,1
1193,707500.0,716250.0,182000.0,188000.0,1193-3,1
1193,716250.0,725000.0,182000.0,188000.0,1193-4,1
1194,725000.0,733750.0,188000.0,194000.0,1194-1,1
1194,733750.0,742500.0,188000.0,194000.0,1194-2,1
1194,725000.0,733750.0,182000.0,188000.0,1194-3,1
1194,733750.0,742500.0,182000.0,188000.0,1194-4,1
1195,742500.0,751250.0,188000.0,194000.0,1195-1,1
1195,751250.0,760000.0,188000.0,194000.0,1195-2,1
1195,742500.0,751250.0,182000.0,188000.0,1195-3,1
1195,751250.0,760000.0,182000.0,188000.0,1195-4,1
1196,760000.0,768750.0,188000.0,194000.0,1196-1,1
1196,768750.0,777500.0,188000.0,194000.0,1196-2,1
1196,760000.0,768750.0,182000.0,188000.0,1196-3,1
1196,768750.0,777500.0,182000.0,188000.0,1196-4,1
1197,777500.0,786250.0,188000.0,194000.0,1197-1,1
1197,786250.0,795000.0,188000.0,194000.0,1197-2,1
1197,777500.0,786250.0,182000.0,188000.0,1197-3,1
1197,786250.0,795000.0,182000.0,188000.0,1197-4,1
1198,795000.0,803750.0,188000.0,194000.0,1198-1,1
1198,803750.0,812500.0,188000.0,194000.0,1198-2,1
1198,795000.0,803750.0,182000.0,188000.0,1198-3,1
1198,803750.0,812500.0,182000.0,188000.0,1198-4,1
1199,812500.0,821250.0,188000.0,194000.0,1199-1,1
1199,821250.0,830000.0,188000.0,194000.0,1199-2,1
1199,812500.0,821250.0,182000.0,188000.0,1199-3,1
1199,821250.0,830000.0,182000.0,188000.0,1199-4,1
1212,698750.0,707500.0,176000.0,182000.0,1212-2,1
1212,690000.0,698750.0,170000.0,176000.0,1212-3,1
1212,698750.0,707500.0,170000.0,176000.0,1212-4,1
1213,707500.0,716250.0,176000.0,182000.0,1213-1,1
1213,716250.0,725000.0,176000.0,182000.0,1213-2,1
1213,707500.0,716250.0,170000.0,176000.0,1213-3,1
1213,716250.0,725000.0,170000.0,176000.0,1213-4,1
1214,725000.0,733750.0,176000.0,182000.0,1214-1,1
1214,733750.0,742500.0,176000.0,182000.0,1214-2,1
1214,725000.0,733750.0,170000.0,176000.0,1214-3,1
1214,733750.0,742500.0,170000.0,176000.0,1214-4,1
1215,742500.0,751250.0,176000.0,182000.0,1215-1,1
1215,751250.0,760000.0,176000.0,182000.0,1215-2,1
1215,742500.0,751250.0,170000.0,176000.0,1215-3,1
1215,751250.0,760000.0,170000.0,176000.0,1215-4,1
1216,760000.0,768750.0,176000.0,182000.0,1216-1,1
1216,768750.0,777500.0,176000.0,182000.0,1216-2,1
1216,760000.0,768750.0,170000.0,176000.0,1216-3,1
1216,768750.0,777500.0,170000.0,176000.0,1216-4,1
1217,777500.0,786250.0,176000.0,182000.0,1217-1,1
1217,786250.0,795000.0,176000.0,182000.0,1217-2,1
1217,777500.0,786250.0,170000.0,176000.0,1217-3,1
1217,786250.0,795000.0,170000.0,176000.0,1217-4,1
1218,795000.0,803750.0,176000.0,182000.0,1218-1,1
1218,803750.0,812500.0,176000.0,182000.0,1218-2,1
1218,795000.0,803750.0,170000.0,176000.0,1218-3,1
1218,803750.0,812500.0,170000.0,176000.0,1218-4,1
1219,812500.0,821250.0,176000.0,182000.0,1219-1,1
1219,821250.0,830000.0,176000.0,182000.0,1219-2,1
1219,812500.0,821250.0,170000.0,176000.0,1219-3,1
1219,821250.0,830000.0,170000.0,176000.0,1219-4,1
1232,690000.0,698750.0,164000.0,170000.0,1232-1,1
1232,698750.0,707500.0,164000.0,170000.0,1232-2,1
1232,690000.0,698750.0,158000.0,164000.0,1232-3,1
1232,698750.0,707500.0,158000.0,164000.0,1232-4,1
1233,707500.0,716250.0,164000.0,170000.0,1233-1,1
1233,716250.0,725000.0,164000.0,170000.0,1233-2,1
1233,707500.0,716250.0,158000.0,164000.0,1233-3,1
1233,716250.0,725000.0,158000.0,164000.0,1233-4,1
1234,725000.0,733750.0,164000.0,170000.0,1234-1,1
1234,733750.0,742500.0,164000.0,170000.0,1234-2,1
1234,725000.0,733750.0,158000.0,164000.0,1234-3,1
1234,733750.0,742500.0,158000.0,164000.0,1234-4,1
1235,742500.0,751250.0,164000.0,170000.0,1235-1,1
1235,751250.0,760000.0,164000.0,170000.0,1235-2,1
1235,742500.0,751250.0,158000.0,164000.0,1235-3,1
1235,751250.0,760000.0,158000.0,164000.0,1235-4,1
1236,760000.0,768750.0,164000.0,170000.0,1236-1,1
1236,768750.0,777500.0,164000.0,170000.0,1236-2,1
1236,760000.0,768750.0,158000.0,164000.0,1236-3,1
1236,768750.0,777500.0,158000.0,164000.0,1236-4,1
1237,777500.0,786250.0,164000.0,170000.0,1237-1,1
1237,786250.0,795000.0,164000.0,170000.0,1237-2,1
1237,777500.0,786250.0,158000.0,164000.0,1237-3,1
1237,786250.0,795000.0,158000.0,164000.0,1237-4,1
1238,795000.0,803750.0,164000.0,170000.0,1238-1,1
1238,803750.0,812500.0,164000.0,170000.0,1238-2,1
1238,795000.0,803750.0,158000.0,164000.0,1238-3,1
1238,803750.0,812500.0,158000.0,164000.0,1238-4,1
1239,812500.0,821250.0,164000.0,170000.0,1239-1,1
1239,821250.0,830000.0,164000.0,170000.0,1239-2,1
1239,812500.0,821250.0,158000.0,164000.0,1239-3,1
1239,821250.0,830000.0,158000.0,164000.0,1239-4,1
1252,698750.0,707500.0,152000.0,158000.0,1252-2,1
1253,707500.0,716250.0,152000.0,158000.0,1253-1,1
1253,716250.0,725000.0,152000.0,158000.0,1253-2,1
1253,716250.0,725000.0,146000.0,152000.0,1253-4,1
1254,725000.0,733750.0,152000.0,158000.0,1254-1,1
1254,733750.0,742500.0,152000.0,158000.0,1254-2,1
1254,725000.0,733750.0,146000.0,152000.0,1254-3,1
1254,733750.0,742500.0,146000.0,152000.0,1254-4,1
1255,742500.0,751250.0,152000.0,158000.0,1255-1,1
1255,751250.0,760000.0,152000.0,158000.0,1255-2,1
1255,742500.0,751250.0,146000.0,152000.0,1255-3,1
1255,751250.0,760000.0,146000.0,152000.0,1255-4,1
1256,760000.0,768750.0,152000.0,158000.0,1256-1,1
1256,768750.0,777500.0,152000.0,158000.0,1256-2,1
1256,760000.0,768750.0,146000.0,152000.0,1256-3,1
1256,768750.0,777500.0,146000.0,152000.0,1256-4,1
1257,777500.0,786250.0,152000.0,158000.0,1257-1,1
1257,786250.0,795000.0,152000.0,158000.0,1257-2,1
1257,777500.0,786250.0,146000.0,152000.0,1257-3,1
1257,786250.0,795000.0,146000.0,152000.0,1257-4,1
1258,795000.0,803750.0,152000.0,158000.0,1258-1,1
1258,795000.0,803750.0,146000.0,152000.0,1258-3,1
1274,725000.0,733750.0,140000.0,146000.0,1274-1,1
1274,733750.0,742500.0,140000.0,146000.0,1274-2,1
1274,725000.0,733750.0,134000.0,140000.0,1274-3,1
1274,733750.0,742500.0,134000.0,140000.0,1274-4,1
1275,751250.0,760000.0,140000.0,146000.0,1275-2,1
1275,742500.0,751250.0,134000.0,140000.0,1275-3,1
1275,751250.0,760000.0,134000.0,140000.0,1275-4,1
1276,760000.0,768750.0,140000.0,146000.0,1276-1,1
1276,768750.0,777500.0,140000.0,146000.0,1276-2,1
1276,760000.0,768750.0,134000.0,140000.0,1276-3,1
1276,768750.0,777500.0,134000.0,140000.0,1276-4,1
1277,777500.0,786250.0,140000.0,146000.0,1277-1,1
1277,786250.0,795000.0,140000.0,146000.0,1277-2,1
1277,777500.0,786250.0,134000.0,140000.0,1277-3,1
1277,786250.0,795000.0,134000.0,140000.0,1277-4,1
1278,795000.0,803750.0,140000.0,146000.0,1278-1,1
1278,803750.0,812500.0,140000.0,146000.0,1278-2,1
1278,795000.0,803750.0,134000.0,140000.0,1278-3,1
1278,803750.0,812500.0,134000.0,140000.0,1278-4,1
1293,716250.0,725000.0,128000.0,134000.0,1293-2,1
1293,716250.0,725000.0,122000.0,128000.0,1293-4,1
1294,725000.0,733750.0,128000.0,134000.0,1294-1,1
1294,733750.0,742500.0,128000.0,134000.0,1294-2,1
1294,725000.0,733750.0,122000.0,128000.0,1294-3,1
1294,733750.0,742500.0,122000.0,128000.0,1294-4,1
1295,742500.0,751250.0,128000.0,134000.0,1295-1,1
1295,751250.0,760000.0,128000.0,134000.0,1295-2,1
1296,760000.0,768750.0,128000.0,134000.0,1296-1,1
1296,768750.0,777500.0,128000.0,134000.0,1296-2,1
1298,795000.0,803750.0,128000.0,134000.0,1298-1,1
1298,803750.0,812500.0,128000.0,134000.0,1298-2,1
1298,795000.0,803750.0,122000.0,128000.0,1298-3,1
1298,803750.0,812500.0,122000.0,128000.0,1298-4,1
1314,725000.0,733750.0,116000.0,122000.0,1314-1,1
1314,733750.0,742500.0,116000.0,122000.0,1314-2,1
1314,725000.0,733750.0,110000.0,116000.0,1314-3,1
1314,733750.0,742500.0,110000.0,116000.0,1314-4,1
1318,795000.0,803750.0,116000.0,122000.0,1318-1,1
2180,830000.0,838750.0,200000.0,206000.0,2180-1,1
2180,830000.0,838750.0,194000.0,200000.0,2180-3,1
