ID,XMIN,XMAX,YMIN,YMAX,nummer,kt_so
1230,663750.0,672500.0,164000.0,170000.0,1230-2,1
1230,663750.0,672500.0,158000.0,164000.0,1230-4,1
1231,672500.0,681250.0,164000.0,170000.0,1231-1,1
1231,672500.0,681250.0,158000.0,164000.0,1231-3,1
1248,628750.0,637500.0,146000.0,152000.0,1248-4,1
1249,637500.0,646250.0,152000.0,158000.0,1249-1,1
1249,646250.0,655000.0,152000.0,158000.0,1249-2,1
1249,637500.0,646250.0,146000.0,152000.0,1249-3,1
1249,646250.0,655000.0,146000.0,152000.0,1249-4,1
1250,655000.0,663750.0,152000.0,158000.0,1250-1,1
1250,663750.0,672500.0,152000.0,158000.0,1250-2,1
1250,655000.0,663750.0,146000.0,152000.0,1250-3,1
1250,663750.0,672500.0,146000.0,152000.0,1250-4,1
1251,672500.0,681250.0,152000.0,158000.0,1251-1,1
1251,672500.0,681250.0,146000.0,152000.0,1251-3,1
1263,541250.0,550000.0,134000.0,140000.0,1263-4,1
1264,550000.0,558750.0,140000.0,146000.0,1264-1,1
1264,550000.0,558750.0,134000.0,140000.0,1264-3,1
1266,585000.0,593750.0,134000.0,140000.0,1266-3,1
1266,593750.0,602500.0,134000.0,140000.0,1266-4,1
1267,602500.0,611250.0,140000.0,146000.0,1267-1,1
1267,611250.0,620000.0,140000.0,146000.0,1267-2,1
1267,602500.0,611250.0,134000.0,140000.0,1267-3,1
1267,611250.0,620000.0,134000.0,140000.0,1267-4,1
1268,620000.0,628750.0,140000.0,146000.0,1268-1,1
1268,628750.0,637500.0,140000.0,146000.0,1268-2,1
1268,620000.0,628750.0,134000.0,140000.0,1268-3,1
1268,628750.0,637500.0,134000.0,140000.0,1268-4,1
1269,637500.0,646250.0,140000.0,146000.0,1269-1,1
1269,646250.0,655000.0,140000.0,146000.0,1269-2,1
1269,637500.0,646250.0,134000.0,140000.0,1269-3,1
1269,646250.0,655000.0,134000.0,140000.0,1269-4,1
1270,655000.0,663750.0,140000.0,146000.0,1270-1,1
1270,663750.0,672500.0,140000.0,146000.0,1270-2,1
1270,655000.0,663750.0,134000.0,140000.0,1270-3,1
1270,663750.0,672500.0,134000.0,140000.0,1270-4,1
1271,672500.0,681250.0,140000.0,146000.0,1271-1,1
1283,541250.0,550000.0,128000.0,134000.0,1283-2,1
1284,550000.0,558750.0,128000.0,134000.0,1284-1,1
1284,558750.0,567500.0,128000.0,134000.0,1284-2,1
1284,550000.0,558750.0,122000.0,128000.0,1284-3,1
1284,558750.0,567500.0,122000.0,128000.0,1284-4,1
1285,576250.0,585000.0,128000.0,134000.0,1285-2,1
1285,576250.0,585000.0,122000.0,128000.0,1285-4,1
1286,585000.0,593750.0,128000.0,134000.0,1286-1,1
1286,593750.0,602500.0,128000.0,134000.0,1286-2,1
1286,585000.0,593750.0,122000.0,128000.0,1286-3,1
1286,593750.0,602500.0,122000.0,128000.0,1286-4,1
1287,602500.0,611250.0,128000.0,134000.0,1287-1,1
1287,611250.0,620000.0,128000.0,134000.0,1287-2,1
1287,602500.0,611250.0,122000.0,128000.0,1287-3,1
1287,611250.0,620000.0,122000.0,128000.0,1287-4,1
1288,620000.0,628750.0,128000.0,134000.0,1288-1,1
1288,628750.0,637500.0,128000.0,134000.0,1288-2,1
1288,620000.0,628750.0,122000.0,128000.0,1288-3,1
1288,628750.0,637500.0,122000.0,128000.0,1288-4,1
1289,637500.0,646250.0,128000.0,134000.0,1289-1,1
1289,646250.0,655000.0,128000.0,134000.0,1289-2,1
1289,637500.0,646250.0,122000.0,128000.0,1289-3,1
1289,646250.0,655000.0,122000.0,128000.0,1289-4,1
1290,655000.0,663750.0,128000.0,134000.0,1290-1,1
1290,655000.0,663750.0,122000.0,128000.0,1290-3,1
1303,541250.0,550000.0,110000.0,116000.0,1303-4,1
1304,550000.0,558750.0,116000.0,122000.0,1304-1,1
1304,558750.0,567500.0,116000.0,122000.0,1304-2,1
1304,550000.0,558750.0,110000.0,116000.0,1304-3,1
1304,558750.0,567500.0,110000.0,116000.0,1304-4,1
1305,567500.0,576250.0,116000.0,122000.0,1305-1,1
1305,576250.0,585000.0,116000.0,122000.0,1305-2,1
1305,567500.0,576250.0,110000.0,116000.0,1305-3,1
1305,576250.0,585000.0,110000.0,116000.0,1305-4,1
1306,585000.0,593750.0,116000.0,122000.0,1306-1,1
1306,593750.0,602500.0,116000.0,122000.0,1306-2,1
1306,585000.0,593750.0,110000.0,116000.0,1306-3,1
1306,593750.0,602500.0,110000.0,116000.0,1306-4,1
1307,602500.0,611250.0,116000.0,122000.0,1307-1,1
1307,611250.0,620000.0,116000.0,122000.0,1307-2,1
1307,602500.0,611250.0,110000.0,116000.0,1307-3,1
1307,611250.0,620000.0,110000.0,116000.0,1307-4,1
1308,620000.0,628750.0,116000.0,122000.0,1308-1,1
1308,628750.0,637500.0,116000.0,122000.0,1308-2,1
1308,620000.0,628750.0,110000.0,116000.0,1308-3,1
1308,628750.0,637500.0,110000.0,116000.0,1308-4,1
